AvgSpotLen	BioSample	BioSampleModel	Cultivar	DATASTORE_provider	DATASTORE_region	Experiment	ID	InsertSize	LibraryLayout	Library_Name	LoadDate	MBases	MBytes	Plant	ReleaseDate	Rice_Field	Run	SRA_Sample	Sample_Name	collection_date	env_biome	env_feature	env_material	geo_loc_name	host	lat_lon	Assay_Type	BioProject	Center_Name	Consent	DATASTORE_filetype	Instrument	LibrarySelection	LibrarySource	Organism	Platform	SRA_Study
490	SAMN02929696	MIGS/MIMS/MIMARKS.host-associated	Nipponebare	sra-sos	sra-sos.public	SRX659897	JE.Soil.2	250	PAIRED	GHRun1	2016-06-09	22	13		2014-07-26		SRR1524334	SRS664896	JE.Soil.2	2013-05-06	Greenhouse Soil	Transported Soil in the Greenhouse	Rhizosphere	USA: Arbuckle, California	Oryza sativa	39.011732 N 121.922118 W	AMPLICON	PRJNA255789	UC DAVIS	public	sra	Illumina MiSeq	PCR	METAGENOMIC	root metagenome	ILLUMINA	SRP044745
490	SAMN02929697	MIGS/MIMS/MIMARKS.host-associated	Nipponebare	sra-sos	sra-sos.public	SRX659898	JE.Soil.3	250	PAIRED	GHRun1	2016-06-09	19	12		2014-07-26		SRR1524335	SRS664897	JE.Soil.3	2013-05-06	Greenhouse Soil	Transported Soil in the Greenhouse	Rhizoplane	USA: Arbuckle, California	Oryza sativa	39.011732 N 121.922118 W	AMPLICON	PRJNA255789	UC DAVIS	public	sra	Illumina MiSeq	PCR	METAGENOMIC	root metagenome	ILLUMINA	SRP044745
494	SAMN02928836	MIGS/MIMS/MIMARKS.host-associated		sra-sos	sra-sos.public	SRX659909		250	PAIRED	FieldRun1	2016-06-09	33	22	4	2014-07-26	Ditaler_18	SRR1524336	SRS664907	JE.Lundberg.12	2013-07-08	Rice Paddy	Rice Paddy	Endosphere	USA: California, Central Valley	Rice	39.41028 N 121.74667 W	AMPLICON	PRJNA255789	UC DAVIS	public	sra	Illumina MiSeq	PCR	METAGENOMIC	root metagenome	ILLUMINA	SRP044745
494	SAMN02928837	MIGS/MIMS/MIMARKS.host-associated		sra-sos	sra-sos.public	SRX659910		250	PAIRED	FieldRun1	2016-06-09	12	8	5	2014-07-26	Ditaler_18	SRR1524337	SRS664909	JE.Lundberg.13	2013-07-08	Rice Paddy	Rice Paddy	Rhizosphere	USA: California, Central Valley	Rice	39.41028 N 121.74667 W	AMPLICON	PRJNA255789	UC DAVIS	public	sra	Illumina MiSeq	PCR	METAGENOMIC	root metagenome	ILLUMINA	SRP044745
494	SAMN02928838	MIGS/MIMS/MIMARKS.host-associated		sra-sos	sra-sos.public	SRX659911		250	PAIRED	FieldRun1	2016-06-09	32	21	5	2014-07-26	Ditaler_18	SRR1524338	SRS664910	JE.Lundberg.15	2013-07-08	Rice Paddy	Rice Paddy	Endosphere	USA: California, Central Valley	Rice	39.41028 N 121.74667 W	AMPLICON	PRJNA255789	UC DAVIS	public	sra	Illumina MiSeq	PCR	METAGENOMIC	root metagenome	ILLUMINA	SRP044745
494	SAMN02928839	MIGS/MIMS/MIMARKS.host-associated		sra-sos	sra-sos.public	SRX659913		250	PAIRED	FieldRun1	2016-06-09	53	36	6	2014-07-26	Ditaler_18	SRR1524339	SRS664912	JE.Lundberg.16	2013-07-08	Rice Paddy	Rice Paddy	Rhizosphere	USA: California, Central Valley	Rice	39.41028 N 121.74667 W	AMPLICON	PRJNA255789	UC DAVIS	public	sra	Illumina MiSeq	PCR	METAGENOMIC	root metagenome	ILLUMINA	SRP044745
494	SAMN02928840	MIGS/MIMS/MIMARKS.host-associated		sra-sos	sra-sos.public	SRX659915		250	PAIRED	FieldRun1	2016-06-09	43	29	6	2014-07-26	Ditaler_18	SRR1524340	SRS664914	JE.Lundberg.17	2013-07-08	Rice Paddy	Rice Paddy	Rhizoplane	USA: California, Central Valley	Rice	39.41028 N 121.74667 W	AMPLICON	PRJNA255789	UC DAVIS	public	sra	Illumina MiSeq	PCR	METAGENOMIC	root metagenome	ILLUMINA	SRP044745
494	SAMN02928841	MIGS/MIMS/MIMARKS.host-associated		sra-sos	sra-sos.public	SRX659916		250	PAIRED	FieldRun1	2016-06-09	31	21	6	2014-07-26	Ditaler_18	SRR1524341	SRS664915	JE.Lundberg.18	2013-07-08	Rice Paddy	Rice Paddy	Endosphere	USA: California, Central Valley	Rice	39.41028 N 121.74667 W	AMPLICON	PRJNA255789	UC DAVIS	public	sra	Illumina MiSeq	PCR	METAGENOMIC	root metagenome	ILLUMINA	SRP044745
494	SAMN02928842	MIGS/MIMS/MIMARKS.host-associated		sra-sos	sra-sos.public	SRX659917		250	PAIRED	FieldRun1	2016-06-09	50	34	7	2014-07-26	Ditaler_18	SRR1524342	SRS664916	JE.Lundberg.19	2013-07-08	Rice Paddy	Rice Paddy	Rhizosphere	USA: California, Central Valley	Rice	39.41028 N 121.74667 W	AMPLICON	PRJNA255789	UC DAVIS	public	sra	Illumina MiSeq	PCR	METAGENOMIC	root metagenome	ILLUMINA	SRP044745
494	SAMN02928843	MIGS/MIMS/MIMARKS.host-associated		sra-sos	sra-sos.public	SRX659918		250	PAIRED	FieldRun1	2016-06-09	27	18	7	2014-07-26	Ditaler_18	SRR1524343	SRS664917	JE.Lundberg.20	2013-07-08	Rice Paddy	Rice Paddy	Rhizoplane	USA: California, Central Valley	Rice	39.41028 N 121.74667 W	AMPLICON	PRJNA255789	UC DAVIS	public	sra	Illumina MiSeq	PCR	METAGENOMIC	root metagenome	ILLUMINA	SRP044745
494	SAMN02928844	MIGS/MIMS/MIMARKS.host-associated		sra-sos	sra-sos.public	SRX659919		250	PAIRED	FieldRun1	2016-06-09	34	23	7	2014-07-26	Ditaler_18	SRR1524344	SRS664918	JE.Lundberg.21	2013-07-08	Rice Paddy	Rice Paddy	Endosphere	USA: California, Central Valley	Rice	39.41028 N 121.74667 W	AMPLICON	PRJNA255789	UC DAVIS	public	sra	Illumina MiSeq	PCR	METAGENOMIC	root metagenome	ILLUMINA	SRP044745
494	SAMN02928845	MIGS/MIMS/MIMARKS.host-associated		sra-sos	sra-sos.public	SRX659920		250	PAIRED	FieldRun1	2016-06-09	48	32	8	2014-07-26	Ditaler_18	SRR1524345	SRS664919	JE.Lundberg.22	2013-07-08	Rice Paddy	Rice Paddy	Rhizosphere	USA: California, Central Valley	Rice	39.41028 N 121.74667 W	AMPLICON	PRJNA255789	UC DAVIS	public	sra	Illumina MiSeq	PCR	METAGENOMIC	root metagenome	ILLUMINA	SRP044745
494	SAMN02928846	MIGS/MIMS/MIMARKS.host-associated		sra-sos	sra-sos.public	SRX659921		250	PAIRED	FieldRun1	2016-06-09	43	28	8	2014-07-26	Ditaler_18	SRR1524346	SRS664920	JE.Lundberg.23	2013-07-08	Rice Paddy	Rice Paddy	Rhizoplane	USA: California, Central Valley	Rice	39.41028 N 121.74667 W	AMPLICON	PRJNA255789	UC DAVIS	public	sra	Illumina MiSeq	PCR	METAGENOMIC	root metagenome	ILLUMINA	SRP044745
494	SAMN02928847	MIGS/MIMS/MIMARKS.host-associated		sra-sos	sra-sos.public	SRX659922		250	PAIRED	FieldRun1	2016-06-09	31	20	8	2014-07-26	Ditaler_18	SRR1524347	SRS664921	JE.Lundberg.24	2013-07-08	Rice Paddy	Rice Paddy	Endosphere	USA: California, Central Valley	Rice	39.41028 N 121.74667 W	AMPLICON	PRJNA255789	UC DAVIS	public	sra	Illumina MiSeq	PCR	METAGENOMIC	root metagenome	ILLUMINA	SRP044745
494	SAMN02928848	MIGS/MIMS/MIMARKS.host-associated		sra-sos	sra-sos.public	SRX659923		250	PAIRED	FieldRun1	2016-06-09	39	27	1	2014-07-26	Spooner_Airstrip	SRR1524348	SRS664922	JE.Lundberg.49	2013-07-08	Rice Paddy	Rice Paddy	Rhizosphere	USA: California, Central Valley	Rice	39.47778 N 122.17889 W	AMPLICON	PRJNA255789	UC DAVIS	public	sra	Illumina MiSeq	PCR	METAGENOMIC	root metagenome	ILLUMINA	SRP044745
494	SAMN02928849	MIGS/MIMS/MIMARKS.host-associated		sra-sos	sra-sos.public	SRX659924		250	PAIRED	FieldRun1	2016-06-09	47	32	1	2014-07-26	Spooner_Airstrip	SRR1524349	SRS664923	JE.Lundberg.50	2013-07-08	Rice Paddy	Rice Paddy	Rhizoplane	USA: California, Central Valley	Rice	39.47778 N 122.17889 W	AMPLICON	PRJNA255789	UC DAVIS	public	sra	Illumina MiSeq	PCR	METAGENOMIC	root metagenome	ILLUMINA	SRP044745
494	SAMN02928850	MIGS/MIMS/MIMARKS.host-associated		sra-sos	sra-sos.public	SRX659925		250	PAIRED	FieldRun1	2016-06-09	26	17	1	2014-07-26	Spooner_Airstrip	SRR1524350	SRS664924	JE.Lundberg.51	2013-07-08	Rice Paddy	Rice Paddy	Endosphere	USA: California, Central Valley	Rice	39.47778 N 122.17889 W	AMPLICON	PRJNA255789	UC DAVIS	public	sra	Illumina MiSeq	PCR	METAGENOMIC	root metagenome	ILLUMINA	SRP044745
494	SAMN02928851	MIGS/MIMS/MIMARKS.host-associated		sra-sos	sra-sos.public	SRX659926		250	PAIRED	FieldRun1	2016-06-09	36	24	2	2014-07-26	Spooner_Airstrip	SRR1524351	SRS664925	JE.Lundberg.52	2013-07-08	Rice Paddy	Rice Paddy	Rhizosphere	USA: California, Central Valley	Rice	39.47778 N 122.17889 W	AMPLICON	PRJNA255789	UC DAVIS	public	sra	Illumina MiSeq	PCR	METAGENOMIC	root metagenome	ILLUMINA	SRP044745
494	SAMN02928852	MIGS/MIMS/MIMARKS.host-associated		sra-sos	sra-sos.public	SRX659927		250	PAIRED	FieldRun1	2016-06-09	26	18	2	2014-07-26	Spooner_Airstrip	SRR1524352	SRS664926	JE.Lundberg.53	2013-07-08	Rice Paddy	Rice Paddy	Rhizoplane	USA: California, Central Valley	Rice	39.47778 N 122.17889 W	AMPLICON	PRJNA255789	UC DAVIS	public	sra	Illumina MiSeq	PCR	METAGENOMIC	root metagenome	ILLUMINA	SRP044745
494	SAMN02928853	MIGS/MIMS/MIMARKS.host-associated		sra-sos	sra-sos.public	SRX659928		250	PAIRED	FieldRun1	2016-06-09	35	24	2	2014-07-26	Spooner_Airstrip	SRR1524353	SRS664927	JE.Lundberg.54	2013-07-08	Rice Paddy	Rice Paddy	Endosphere	USA: California, Central Valley	Rice	39.47778 N 122.17889 W	AMPLICON	PRJNA255789	UC DAVIS	public	sra	Illumina MiSeq	PCR	METAGENOMIC	root metagenome	ILLUMINA	SRP044745
494	SAMN02928854	MIGS/MIMS/MIMARKS.host-associated		sra-sos	sra-sos.public	SRX659929		250	PAIRED	FieldRun1	2016-06-09	34	23	3	2014-07-26	Spooner_Airstrip	SRR1524354	SRS664928	JE.Lundberg.55	2013-07-08	Rice Paddy	Rice Paddy	Rhizosphere	USA: California, Central Valley	Rice	39.47778 N 122.17889 W	AMPLICON	PRJNA255789	UC DAVIS	public	sra	Illumina MiSeq	PCR	METAGENOMIC	root metagenome	ILLUMINA	SRP044745
494	SAMN02928855	MIGS/MIMS/MIMARKS.host-associated		sra-sos	sra-sos.public	SRX659930		250	PAIRED	FieldRun1	2016-06-09	35	24	3	2014-07-26	Spooner_Airstrip	SRR1524355	SRS664929	JE.Lundberg.56	2013-07-08	Rice Paddy	Rice Paddy	Rhizoplane	USA: California, Central Valley	Rice	39.47778 N 122.17889 W	AMPLICON	PRJNA255789	UC DAVIS	public	sra	Illumina MiSeq	PCR	METAGENOMIC	root metagenome	ILLUMINA	SRP044745
494	SAMN02928856	MIGS/MIMS/MIMARKS.host-associated		sra-sos	sra-sos.public	SRX659932		250	PAIRED	FieldRun1	2016-06-09	32	22	3	2014-07-26	Spooner_Airstrip	SRR1524356	SRS664931	JE.Lundberg.57	2013-07-08	Rice Paddy	Rice Paddy	Endosphere	USA: California, Central Valley	Rice	39.47778 N 122.17889 W	AMPLICON	PRJNA255789	UC DAVIS	public	sra	Illumina MiSeq	PCR	METAGENOMIC	root metagenome	ILLUMINA	SRP044745
494	SAMN02928826	MIGS/MIMS/MIMARKS.host-associated		sra-sos	sra-sos.public	SRX659857		0	PAIRED	FieldRun1	2016-06-09	39	26	1	2014-07-26	Ditaler_18	SRR1523636	SRS664859	JE.Lundberg.2	2013-07-08	Rice Paddy	Rice Paddy	Rhizoplane	USA: California, Central Valley	Rice	39.41028 N 121.74667 W	AMPLICON	PRJNA255789	UC DAVIS	public	sra	Illumina MiSeq	PCR	METAGENOMIC	root metagenome	ILLUMINA	SRP044745
494	SAMN02928834	MIGS/MIMS/MIMARKS.host-associated		sra-sos	sra-sos.public	SRX659906		250	PAIRED	FieldRun1	2016-06-09	54	36	4	2014-07-26	Ditaler_18	SRR1523635	SRS664905	JE.Lundberg.10	2013-07-08	Rice Paddy	Rice Paddy	Rhizosphere	USA: California, Central Valley	Rice	39.41028 N 121.74667 W	AMPLICON	PRJNA255789	UC DAVIS	public	sra	Illumina MiSeq	PCR	METAGENOMIC	root metagenome	ILLUMINA	SRP044745
494	SAMN02928825	MIGS/MIMS/MIMARKS.host-associated		sra-sos	sra-sos.public	SRX659832		250	PAIRED	FieldRun1	2016-06-09	30	20	1	2014-07-26	Ditaler_18	SRR1523634	SRS664834	JE.Lundberg.1	2013-07-08	Rice Paddy	Rice Paddy	Rhizosphere	USA: California, Central Valley	Rice	39.41028 N 121.74667 W	AMPLICON	PRJNA255789	UC DAVIS	public	sra	Illumina MiSeq	PCR	METAGENOMIC	root metagenome	ILLUMINA	SRP044745
494	SAMN02928857	MIGS/MIMS/MIMARKS.host-associated		sra-sos	sra-sos.public	SRX659933		250	PAIRED	FieldRun1	2016-06-09	29	19	4	2014-07-26	Spooner_Airstrip	SRR1524358	SRS664932	JE.Lundberg.58	2013-07-08	Rice Paddy	Rice Paddy	Rhizosphere	USA: California, Central Valley	Rice	39.47778 N 122.17889 W	AMPLICON	PRJNA255789	UC DAVIS	public	sra	Illumina MiSeq	PCR	METAGENOMIC	root metagenome	ILLUMINA	SRP044745
490	SAMN02929698	MIGS/MIMS/MIMARKS.host-associated	Nipponebare	sra-sos	sra-sos.public	SRX659900	JE.Soil.4	250	PAIRED	GHRun1	2016-06-09	18	10		2014-07-26		SRR1524359	SRS664898	JE.Soil.4	2013-05-06	Greenhouse Soil	Transported Soil in the Greenhouse	Endosphere	USA: Arbuckle, California	Oryza sativa	39.011732 N 121.922118 W	AMPLICON	PRJNA255789	UC DAVIS	public	sra	Illumina MiSeq	PCR	METAGENOMIC	root metagenome	ILLUMINA	SRP044745
494	SAMN02928858	MIGS/MIMS/MIMARKS.host-associated		sra-sos	sra-sos.public	SRX659934		250	PAIRED	FieldRun1	2016-06-09	30	20	4	2014-07-26	Spooner_Airstrip	SRR1524360	SRS664933	JE.Lundberg.59	2013-07-08	Rice Paddy	Rice Paddy	Rhizoplane	USA: California, Central Valley	Rice	39.47778 N 122.17889 W	AMPLICON	PRJNA255789	UC DAVIS	public	sra	Illumina MiSeq	PCR	METAGENOMIC	root metagenome	ILLUMINA	SRP044745
494	SAMN02928859	MIGS/MIMS/MIMARKS.host-associated		sra-sos	sra-sos.public	SRX659935		250	PAIRED	FieldRun1	2016-06-09	30	21	4	2016-06-09	Spooner_Airstrip	SRR1524361	SRS664934	JE.Lundberg.60	2013-07-08	Rice Paddy	Rice Paddy	Endosphere	USA: California, Central Valley	Rice	39.47778 N 122.17889 W	AMPLICON	PRJNA255789	UC DAVIS	public	sra	Illumina MiSeq	PCR	METAGENOMIC	root metagenome	ILLUMINA	SRP044745
494	SAMN02928860	MIGS/MIMS/MIMARKS.host-associated		sra-sos	sra-sos.public	SRX659936		250	PAIRED	FieldRun1	2016-06-09	33	22	5	2016-06-09	Spooner_Airstrip	SRR1524362	SRS664935	JE.Lundberg.61	2013-07-08	Rice Paddy	Rice Paddy	Rhizosphere	USA: California, Central Valley	Rice	39.47778 N 122.17889 W	AMPLICON	PRJNA255789	UC DAVIS	public	sra	Illumina MiSeq	PCR	METAGENOMIC	root metagenome	ILLUMINA	SRP044745
490	SAMN02929699	MIGS/MIMS/MIMARKS.host-associated	Soil	sra-sos	sra-sos.public	SRX659901	JE.Soil.5	250	PAIRED	GHRun1	2016-06-09	78	46		2014-07-26		SRR1524363	SRS664900	JE.Soil.5	2013-05-06	Greenhouse Soil	Transported Soil in the Greenhouse	Bulk Soil	USA: Arbuckle, California	Oryza sativa	39.011732 N 121.922118 W	AMPLICON	PRJNA255789	UC DAVIS	public	sra	Illumina MiSeq	PCR	METAGENOMIC	root metagenome	ILLUMINA	SRP044745
490	SAMN02929700	MIGS/MIMS/MIMARKS.host-associated	M104	sra-sos	sra-sos.public	SRX659912	JE.Soil.6	250	PAIRED	GHRun1	2016-06-09	17	10		2014-07-26		SRR1524364	SRS664911	JE.Soil.6	2013-05-06	Greenhouse Soil	Transported Soil in the Greenhouse	Rhizosphere	USA: Arbuckle, California	Oryza sativa	39.011732 N 121.922118 W	AMPLICON	PRJNA255789	UC DAVIS	public	sra	Illumina MiSeq	PCR	METAGENOMIC	root metagenome	ILLUMINA	SRP044745
494	SAMN02928861	MIGS/MIMS/MIMARKS.host-associated		sra-sos	sra-sos.public	SRX659937		250	PAIRED	FieldRun1	2016-06-09	35	24	5	2016-06-09	Spooner_Airstrip	SRR1524365	SRS664936	JE.Lundberg.62	2013-07-08	Rice Paddy	Rice Paddy	Rhizoplane	USA: California, Central Valley	Rice	39.47778 N 122.17889 W	AMPLICON	PRJNA255789	UC DAVIS	public	sra	Illumina MiSeq	PCR	METAGENOMIC	root metagenome	ILLUMINA	SRP044745
490	SAMN02929701	MIGS/MIMS/MIMARKS.host-associated	M104	sra-sos	sra-sos.public	SRX659914	JE.Soil.7	250	PAIRED	GHRun1	2016-06-09	42	25		2014-07-26		SRR1524366	SRS664913	JE.Soil.7	2013-05-06	Greenhouse Soil	Transported Soil in the Greenhouse	Rhizoplane	USA: Arbuckle, California	Oryza sativa	39.011732 N 121.922118 W	AMPLICON	PRJNA255789	UC DAVIS	public	sra	Illumina MiSeq	PCR	METAGENOMIC	root metagenome	ILLUMINA	SRP044745
494	SAMN02928863	MIGS/MIMS/MIMARKS.host-associated		sra-sos	sra-sos.public	SRX659939		250	PAIRED	FieldRun1	2016-06-09	26	18	6	2016-06-09	Spooner_Airstrip	SRR1524367	SRS664937	JE.Lundberg.64	2013-07-08	Rice Paddy	Rice Paddy	Rhizosphere	USA: California, Central Valley	Rice	39.47778 N 122.17889 W	AMPLICON	PRJNA255789	UC DAVIS	public	sra	Illumina MiSeq	PCR	METAGENOMIC	root metagenome	ILLUMINA	SRP044745
490	SAMN02929702	MIGS/MIMS/MIMARKS.host-associated	M104	sra-sos	sra-sos.public	SRX659979	JE.Soil.8	250	PAIRED	GHRun1	2016-06-09	22	13		2014-07-26		SRR1524368	SRS664978	JE.Soil.8	2013-05-06	Greenhouse Soil	Transported Soil in the Greenhouse	Endosphere	USA: Arbuckle, California	Oryza sativa	39.011732 N 121.922118 W	AMPLICON	PRJNA255789	UC DAVIS	public	sra	Illumina MiSeq	PCR	METAGENOMIC	root metagenome	ILLUMINA	SRP044745
494	SAMN02928862	MIGS/MIMS/MIMARKS.host-associated		sra-sos	sra-sos.public	SRX659938		250	PAIRED	FieldRun1	2016-06-09	30	20	5	2016-06-09	Spooner_Airstrip	SRR1524369	SRS664938	JE.Lundberg.63	2013-07-08	Rice Paddy	Rice Paddy	Endosphere	USA: California, Central Valley	Rice	39.47778 N 122.17889 W	AMPLICON	PRJNA255789	UC DAVIS	public	sra	Illumina MiSeq	PCR	METAGENOMIC	root metagenome	ILLUMINA	SRP044745
494	SAMN02928864	MIGS/MIMS/MIMARKS.host-associated		sra-sos	sra-sos.public	SRX659940		250	PAIRED	FieldRun1	2016-06-09	36	24	6	2016-06-09	Spooner_Airstrip	SRR1524370	SRS664939	JE.Lundberg.65	2013-07-08	Rice Paddy	Rice Paddy	Rhizoplane	USA: California, Central Valley	Rice	39.47778 N 122.17889 W	AMPLICON	PRJNA255789	UC DAVIS	public	sra	Illumina MiSeq	PCR	METAGENOMIC	root metagenome	ILLUMINA	SRP044745
490	SAMN02929703	MIGS/MIMS/MIMARKS.host-associated	IR50	sra-sos	sra-sos.public	SRX659982	JE.Soil.12	250	PAIRED	GHRun1	2016-06-09	21	12		2014-07-26		SRR1524371	SRS664981	JE.Soil.12	2013-05-06	Greenhouse Soil	Transported Soil in the Greenhouse	Endosphere	USA: Arbuckle, California	Oryza sativa	39.011732 N 121.922118 W	AMPLICON	PRJNA255789	UC DAVIS	public	sra	Illumina MiSeq	PCR	METAGENOMIC	root metagenome	ILLUMINA	SRP044745
494	SAMN02928865	MIGS/MIMS/MIMARKS.host-associated		sra-sos	sra-sos.public	SRX659941		250	PAIRED	FieldRun1	2016-06-09	33	23	6	2016-06-09	Spooner_Airstrip	SRR1524380	SRS664940	JE.Lundberg.66	2013-07-08	Rice Paddy	Rice Paddy	Endosphere	USA: California, Central Valley	Rice	39.47778 N 122.17889 W	AMPLICON	PRJNA255789	UC DAVIS	public	sra	Illumina MiSeq	PCR	METAGENOMIC	root metagenome	ILLUMINA	SRP044745
490	SAMN02929704	MIGS/MIMS/MIMARKS.host-associated	Soil	sra-sos	sra-sos.public	SRX659984	JE.Soil.13	250	PAIRED	GHRun1	2016-06-09	24	14		2014-07-26		SRR1524382	SRS664983	JE.Soil.13	2013-05-06	Greenhouse Soil	Transported Soil in the Greenhouse	Bulk Soil	USA: Arbuckle, California	Oryza sativa	39.011732 N 121.922118 W	AMPLICON	PRJNA255789	UC DAVIS	public	sra	Illumina MiSeq	PCR	METAGENOMIC	root metagenome	ILLUMINA	SRP044745
494	SAMN02928866	MIGS/MIMS/MIMARKS.host-associated		sra-sos	sra-sos.public	SRX659942		250	PAIRED	FieldRun1	2016-06-09	36	24	7	2016-06-09	Spooner_Airstrip	SRR1524383	SRS664941	JE.Lundberg.67	2013-07-08	Rice Paddy	Rice Paddy	Rhizosphere	USA: California, Central Valley	Rice	39.47778 N 122.17889 W	AMPLICON	PRJNA255789	UC DAVIS	public	sra	Illumina MiSeq	PCR	METAGENOMIC	root metagenome	ILLUMINA	SRP044745
